"","h1_yoy","h3_yoy","h12_yoy"
"2010-01-01",0.0757954848418635,0.0761507604543888,0.0854453201210107
"2010-02-01",0.0653407625606204,0.0653763976203627,0.0681393125517473
"2010-03-01",0.0695113936425739,0.0716461601284707,0.0693100625814419
"2010-04-01",0.0960561917771675,0.0928880464839529,0.0930444556108048
"2010-05-01",0.0585761254056436,0.0623029601816117,0.0651239877169309
"2010-06-01",0.0931092687585144,0.0916735709696729,0.0895805392508832
"2010-07-01",0.0990668210103137,0.102093372444753,0.103106612434401
"2010-08-01",0.0957601361116301,0.0972855105335376,0.0914583293430521
"2010-09-01",0.0929362507081362,0.0931580936619381,0.0896715209061158
"2010-10-01",0.118084856389245,0.116239932312045,0.114991943587909
"2010-11-01",0.107067906072935,0.1059623428706,0.10894672475613
"2010-12-01",0.0749852369894961,0.0801511221739718,0.0815575528975973
"2011-01-01",0.165989097335091,0.161891326957832,0.153535534314656
"2011-02-01",0.117317282761431,0.123056259621848,0.118932370967718
"2011-03-01",0.100224448694001,0.0962348932313995,0.0943600456961595
"2011-04-01",0.121139793370212,0.122107388696641,0.120476602725958
"2011-05-01",0.10566230829322,0.107435218891245,0.104943474247287
"2011-06-01",0.118445269313509,0.120553148816579,0.120038808917534
"2011-07-01",0.115743928512136,0.116958184239129,0.121788263831592
"2011-08-01",0.151337074587128,0.150816275954168,0.14818419282447
"2011-09-01",0.121645390330207,0.11918118435823,0.118538010856444
"2011-10-01",0.143385227920732,0.145218227125828,0.142837220483884
"2011-11-01",0.119268517176575,0.117666808616725,0.117640999068223
"2011-12-01",0.114755436325389,0.113808340512328,0.114538970681661
"2012-01-01",0.17570350422761,0.173100889148051,0.169757310885293
"2012-02-01",0.125443379535722,0.124414319858154,0.126362266933439
"2012-03-01",0.142703399577337,0.138115498688943,0.138927511916833
"2012-04-01",0.119956691467118,0.120449288918702,0.124269225781974
"2012-05-01",0.118594105839931,0.119369772985562,0.122244741755884
"2012-06-01",0.13253787656088,0.130641629214177,0.133291445396713
"2012-07-01",0.141796059628053,0.138484619261289,0.138661301589974
"2012-08-01",0.0835411606998231,0.0869701067249431,0.0901000663831924
"2012-09-01",0.108439410971508,0.109035562640846,0.110687029574662
"2012-10-01",0.135229123063547,0.126776794568186,0.127544634084935
"2012-11-01",0.0961622572120957,0.0960796709528132,0.0956002802722792
"2012-12-01",0.12972885914699,0.130141165480592,0.130226209672074
"2013-01-01",0.096223161159403,0.10240464731288,0.0999095228769025
"2013-02-01",0.0625875952677861,0.0630886025437362,0.0713400585537239
"2013-03-01",0.125021714664544,0.121084562548722,0.117705345279453
"2013-04-01",0.0702147893770714,0.0743535979835354,0.0750092652298481
