"","h1","h3","h12"
"2010-01-01",0.909545818102362,0.913809125452666,1.02534384145213
"2010-02-01",0.784089150727445,0.784516771444352,0.817671750620967
"2010-03-01",0.834136723710887,0.859753921541649,0.831720750977303
"2010-04-01",1.15267430132601,1.11465655780744,1.11653346732966
"2010-05-01",0.702913504867723,0.74763552217934,0.781487852603171
"2010-06-01",1.11731122510217,1.10008285163607,1.0749664710106
"2010-07-01",1.18880185212376,1.22512046933703,1.23727934921281
"2010-08-01",1.14912163333956,1.16742612640245,1.09749995211663
"2010-09-01",1.11523500849763,1.11789712394326,1.07605825087339
"2010-10-01",1.41701827667094,1.39487918774454,1.37990332305491
"2010-11-01",1.28481487287522,1.2715481144472,1.30736069707355
"2010-12-01",0.899822843873953,0.961813466087661,0.978690634771167
"2011-01-01",1.99186916802109,1.94269592349398,1.84242641177587
"2011-02-01",1.40780739313717,1.47667511546217,1.42718845161262
"2011-03-01",1.20269338432802,1.15481871877679,1.13232054835391
"2011-04-01",1.45367752044255,1.46528866435969,1.4457192327115
"2011-05-01",1.26794769951864,1.28922262669494,1.25932169096744
"2011-06-01",1.4213432317621,1.44663778579895,1.44046570701041
"2011-07-01",1.38892714214563,1.40349821086955,1.46145916597911
"2011-08-01",1.81604489504554,1.80979531145002,1.77821031389363
"2011-09-01",1.45974468396248,1.43017421229876,1.42245613027733
"2011-10-01",1.72062273504878,1.74261872550994,1.71404664580661
"2011-11-01",1.43122220611891,1.4120017034007,1.41169198881867
"2011-12-01",1.37706523590467,1.36570008614794,1.37446764817993
"2012-01-01",2.10844205073132,2.07721066977662,2.03708773062351
"2012-02-01",1.50532055442866,1.49297183829785,1.51634720320126
"2012-03-01",1.71244079492805,1.65738598426731,1.667130143002
"2012-04-01",1.43948029760542,1.44539146702442,1.49123070938369
"2012-05-01",1.42312927007917,1.43243727582675,1.4669369010706
"2012-06-01",1.59045451873056,1.56769955057013,1.59949734476056
"2012-07-01",1.70155271553663,1.66181543113547,1.66393561907968
"2012-08-01",1.00249392839788,1.04364128069932,1.08120079659831
"2012-09-01",1.3012729316581,1.30842675169016,1.32824435489595
"2012-10-01",1.62274947676256,1.52132153481823,1.53053560901922
"2012-11-01",1.15394708654515,1.15295605143376,1.14720336326735
"2012-12-01",1.55674630976388,1.56169398576711,1.56271451606489
"2013-01-01",1.15467793391284,1.22885576775456,1.19891427452283
"2013-02-01",0.751051143213433,0.757063230524834,0.856080702644686
"2013-03-01",1.50026057597453,1.45301475058466,1.41246414335344
"2013-04-01",0.842577472524856,0.892243175802425,0.900111182758177
"2013-05-01",0.89857111094709,0.866880714168773,0.821859871774461
"2013-06-01",1.05975224364043,1.0572054166452,1.05000624131377
"2013-07-01",0.771800765838857,0.770899617159747,0.761402262075694
"2013-08-01",0.438384760852333,0.46175824840211,0.473932946280345
"2013-09-01",1.01390784331027,1.02870449476263,1.06764648006322
"2013-10-01",0.30001786126029,0.326789498618802,0.43389324419776
"2013-11-01",1.03416335906952,1.01418098516133,0.86980221290729
"2013-12-01",0.799515014132755,0.814371845195979,0.804463727261614
"2014-01-01",0.972822744031799,0.94388075827335,0.970712653999103
"2014-02-01",1.53941034831398,1.47574864341626,1.4329443330931
"2014-03-01",1.08966797605675,1.08602456234147,1.05837180405547
"2014-04-01",0.758438250347078,0.743287232556213,0.762763132347041
"2014-05-01",-0.013266001559795,0.119691640195644,0.213227995757181
"2014-06-01",0.536313497261432,0.604738188347546,0.55271220024767
"2014-07-01",0.370575340560296,0.42092888282331,0.494705304115975
"2014-08-01",0.965664763898468,0.98617017077058,0.939197057023137
"2014-09-01",0.819190472957101,0.857564571762188,0.885003733107222
"2014-10-01",0.168344367836387,0.193340985677499,0.277746700928034
"2014-11-01",0.824364924155525,0.79287041306028,0.762447515071172
"2014-12-01",0.857283249792325,0.850199500011823,0.793909065810595
"2015-01-01",1.94103983658251,1.8677810515358,1.73382855848495
"2015-02-01",2.15752100928792,2.14787911258698,2.16980427196949
"2015-03-01",0.936544014874676,1.03505847783538,1.02740836130935
"2015-04-01",1.06569776753439,1.08295502904198,1.024302545572
"2015-05-01",1.11974926891993,1.13812718074809,1.07486210507432
"2015-06-01",0.863177091159206,0.837400750352031,0.90616321545535
"2015-07-01",0.538035088623258,0.60492416337748,0.639436172401516
"2015-08-01",1.01821161396408,0.963361562073286,0.972108909082006
"2015-09-01",0.966245873221304,0.911410868179986,0.897278238665154
"2015-10-01",1.33531523712067,1.29693571262606,1.26970423780908
"2015-11-01",1.00036118272848,1.0603954121951,1.03781609659223
"2015-12-01",0.666364888652899,0.703352000958349,0.688973202345222
"2016-01-01",0.921849890262516,0.973831928986882,0.968033042755132
"2016-02-01",1.06808296296791,1.09691218196329,1.07682611657779
"2016-03-01",0.915287736093929,0.911239258778137,0.879624093508154
"2016-04-01",0.6576156976982,0.634747005527239,0.559814846267968
"2016-05-01",0.507519178607041,0.558118392412216,0.516653671036453
"2016-06-01",0.440521142749203,0.400187206484409,0.455883752454629
"2016-07-01",0.477777366857616,0.495514308682357,0.551628677393422
"2016-08-01",0.743964291278437,0.715014622629202,0.67016532948352
"2016-09-01",0.968273054713668,0.926878987947355,0.904568259702323
"2016-10-01",1.12869866850043,1.12468466321311,1.12526421691228
"2016-11-01",1.28832756257921,1.22942322895817,1.20272691766567
"2016-12-01",1.22219159599389,1.17622136337313,1.13886898799944
"2017-01-01",1.08235352886697,1.13139480578507,1.13951483618012
"2017-02-01",0.882280007696255,0.913944670830859,0.921223934221965
"2017-03-01",1.41590957059289,1.45781745611927,1.44000359386889
"2017-04-01",1.59089922705848,1.58166103738941,1.55923370877226
"2017-05-01",0.66637681099845,0.686432347694611,0.710003353595488
"2017-06-01",0.864394327988371,0.860794742772595,0.858911992035039
"2017-07-01",0.945453350521497,0.949176256405187,0.990666306321405
"2017-08-01",1.22150376588946,1.20889413040029,1.20708534842715
"2017-09-01",1.14406893692865,1.18890024280288,1.19889975904236
"2017-10-01",-0.227124104086373,-0.170879522355225,-0.135317953908238
"2017-11-01",1.19465698203955,1.15899063671507,1.15030736360994
"2017-12-01",0.893873655863324,0.936898481345306,0.891891590593771
"2018-01-01",1.32824934455974,1.31097390371797,1.23254775591008
"2018-02-01",1.04557287680764,1.01609595536459,0.995504134542965
"2018-03-01",1.17914732684789,1.08772484187232,1.08536972198568
"2018-04-01",1.19806351117162,1.24079921864165,1.20889225594614
"2018-05-01",1.61305458057585,1.59818243217257,1.53934637905397
"2018-06-01",0.527239508066241,0.586548655165599,0.640928670160484
"2018-07-01",1.00405354934233,1.03727780612037,1.00135369032461
"2018-08-01",0.834082240423049,0.887376439509248,0.88406653260237
"2018-09-01",1.00227696781944,1.03603830469328,1.01835556070487
"2018-10-01",0.983772194135109,0.966890148090393,0.985499936389039
"2018-11-01",0.559955076194463,0.567908308909296,0.672420858090296
"2018-12-01",0.544869349180691,0.534993939675474,0.596197874235445
"2019-01-01",0.940855908858069,0.859742936846049,0.911126827194865
"2019-02-01",0.553578306381464,0.55632421895773,0.503550037712405
"2019-03-01",1.29531498108737,1.2733406623257,1.17163644461852
"2019-04-01",2.21747689564237,2.21446689563492,2.1081888245289
"2019-05-01",0.755936600592793,0.827446153150698,0.923781335141275
"2019-06-01",1.29743873646495,1.31811046159898,1.31209863884617
"2019-07-01",0.833570861156849,0.841947703527954,0.850812850105303
"2019-08-01",1.41987856491694,1.29463097365837,1.31601903716979
