"","h1","h2","h3","h4","h5","h6","h12"
"2010-01-01",1.04071868256739,1.04071868256739,1.04071868256739,1.04071868256739,1.04071868256739,1.04071868256739,1.04071868256739
"2010-02-01",0.936037868645911,0.936037868645911,0.936037868645911,0.936037868645911,0.936037868645911,0.936037868645911,0.936037868645911
"2010-03-01",0.727367390972944,0.727367390972944,0.727367390972944,0.727367390972944,0.727367390972944,0.727367390972944,0.727367390972944
"2010-04-01",0.934337305177735,0.934337305177735,0.934337305177735,0.934337305177735,0.934337305177735,0.934337305177735,0.934337305177735
"2010-05-01",0.882029023325615,0.882029023325615,0.882029023325615,0.882029023325615,0.882029023325615,0.882029023325615,0.882029023325615
"2010-06-01",1.08857709899262,1.08857709899262,1.08857709899262,1.08857709899262,1.08857709899262,1.08857709899262,1.08857709899262
"2010-07-01",1.03559928396173,1.03559928396173,1.03559928396173,1.03559928396173,1.03559928396173,1.03559928396173,1.03559928396173
"2010-08-01",1.2935785156639,1.2935785156639,1.2935785156639,1.2935785156639,1.2935785156639,1.2935785156639,1.2935785156639
"2010-09-01",1.18886176552344,1.18886176552344,1.18886176552344,1.18886176552344,1.18886176552344,1.18886176552344,1.18886176552344
"2010-10-01",1.34228313878921,1.34228313878921,1.34228313878921,1.34228313878921,1.34228313878921,1.34228313878921,1.34228313878921
"2010-11-01",1.34089862547881,1.34089862547881,1.34089862547881,1.34089862547881,1.34089862547881,1.34089862547881,1.34089862547881
"2010-12-01",1.18533875313069,1.18533875313069,1.18533875313069,1.18533875313069,1.18533875313069,1.18533875313069,1.18533875313069
"2011-01-01",1.59454978729272,1.59454978729272,1.59454978729272,1.59454978729272,1.59454978729272,1.59454978729272,1.59454978729272
"2011-02-01",1.54162575203074,1.54162575203074,1.54162575203074,1.54162575203074,1.54162575203074,1.54162575203074,1.54162575203074
"2011-03-01",1.64334548772516,1.64334548772516,1.64334548772516,1.64334548772516,1.64334548772516,1.64334548772516,1.64334548772516
"2011-04-01",1.23013936009926,1.23013936009926,1.23013936009926,1.23013936009926,1.23013936009926,1.23013936009926,1.23013936009926
"2011-05-01",1.28016495366232,1.28016495366232,1.28016495366232,1.28016495366232,1.28016495366232,1.28016495366232,1.28016495366232
"2011-06-01",1.48347251049756,1.48347251049756,1.48347251049756,1.48347251049756,1.48347251049756,1.48347251049756,1.48347251049756
"2011-07-01",1.37939979601889,1.37939979601889,1.37939979601889,1.37939979601889,1.37939979601889,1.37939979601889,1.37939979601889
"2011-08-01",1.73447536150064,1.73447536150064,1.73447536150064,1.73447536150064,1.73447536150064,1.73447536150064,1.73447536150064
"2011-09-01",1.63057550639145,1.63057550639145,1.63057550639145,1.63057550639145,1.63057550639145,1.63057550639145,1.63057550639145
"2011-10-01",1.8318312132088,1.8318312132088,1.8318312132088,1.8318312132088,1.8318312132088,1.8318312132088,1.8318312132088
"2011-11-01",1.47348531183447,1.47348531183447,1.47348531183447,1.47348531183447,1.47348531183447,1.47348531183447,1.47348531183447
"2011-12-01",1.4719894791952,1.4719894791952,1.4719894791952,1.4719894791952,1.4719894791952,1.4719894791952,1.4719894791952
"2012-01-01",1.72239374540197,1.72239374540197,1.72239374540197,1.72239374540197,1.72239374540197,1.72239374540197,1.72239374540197
